Date,Open*,High,Low,Close**,Volume,Market Cap
7/17/2020,9133.72,9186.83,9089.81,9154.32,16500659022,1.6876E+11
7/18/2020,9154.31,9219.3,9121.1,9170.28,15638459043,1.69032E+11
7/19/2020,9170.3,9232.27,9101.35,9208.99,16085385662,1.69693E+11
7/20/2020,9208.99,9221.52,9131,9160.78,17080393205,1.68937E+11
7/21/2020,9160.78,9437.73,9152.8,9390,20048075731,1.73037E+11
7/22/2020,9390,9544,9261,9518.16,19702428931,1.7537E+11
7/23/2020,9518.16,9664,9440.33,9603.27,26966148756,1.76822E+11
7/24/2020,9603.27,9637,9463.44,9537.8,35810926085,1.75866E+11
7/25/2020,9538.1,9732.9,9513,9700.42,36726067828,1.78741E+11
7/26/2020,9700.42,10111,9650,9931.54,19713211085,1.83065E+11
7/27/2020,9931.54,11394.86,9917.21,11029.96,34694788844,2.02192E+11
7/28/2020,11029.96,11242.23,10565,10906.27,27637575180,2.01144E+11
7/29/2020,10906.27,11342.82,10812,11100.53,23642111784,2.0497E+11
7/30/2020,11100.52,11170,10831,11099.61,22265381996,2.05201E+11
7/31/2020,11099.79,11444,10960,11335.46,22329797905,2.08934E+11
8/1/2020,11335.46,11861,11220,11801.17,26198946496,2.17741E+11
8/2/2020,11801.17,12123.46,10518.5,11071.35,27584591853,2.04126E+11
8/3/2020,11071.36,11473,10936,11219.81,20583344057,2.07219E+11
8/4/2020,11219.68,11414.98,11000,11191.97,20527193171,2.06584E+11
8/5/2020,11191.99,11780.93,11093,11744.91,22359870185,2.16249E+11
8/6/2020,11744.91,11900,11562.5,11762.46,21793317051,2.17128E+11
8/7/2020,11762.47,11909.94,11322,11594.23,21624736673,2.13579E+11
8/8/2020,11594.36,11808.27,11512,11761.41,17286825185,2.16526E+11
8/9/2020,11761.02,11797.11,11521.97,11681.68,17051550191,2.15622E+11
8/10/2020,11681.69,12067.35,11450,11892.92,24145919191,2.1892E+11
8/11/2020,11892.9,11935,11125,11392.08,24448699831,2.10826E+11
8/12/2020,11392.09,11617.52,11150,11564.33,22803776235,2.13771E+11
8/13/2020,11564.34,11792.96,11270.36,11780,24755770184,2.17185E+11
8/14/2020,11779.77,11850,11634.03,11760.54,21650925952,2.16917E+11
8/15/2020,11760.55,11980,11680,11852.4,21285690553,2.1905E+11
8/16/2020,11852.4,11931.72,11686,11911,19209711614,2.19751E+11
8/17/2020,11910.99,12468,11769.78,12281.13,25481896191,2.26536E+11
8/18/2020,12281.15,12387.77,11817.93,11945.01,24825715159,2.2098E+11
8/19/2020,11945.1,12020.08,11561,11754.59,23384200656,2.1666E+11
8/20/2020,11754.38,11888,11668,11853.55,20353349055,2.19045E+11
8/21/2020,11853.54,11878,11485.81,11531.34,23406354443,2.12897E+11
8/22/2020,11531.23,11686,11376.81,11662.96,19572783954,2.15642E+11
8/23/2020,11663.51,11718.07,11514.13,11648.13,18467219109,2.15347E+11
8/24/2020,11648.12,11824.9,11585.09,11748.2,20061559392,2.17411E+11
8/25/2020,11748.19,11767.85,11117.64,11318.42,23423332919,2.09659E+11
8/26/2020,11318.42,11539.32,11244,11461.43,20869928786,2.11779E+11
8/27/2020,11461.42,11592.2,11125,11330.38,21595917446,2.08748E+11
8/28/2020,11330.38,11542.65,11276.89,11526.91,19271253871,2.128E+11
8/29/2020,11526.9,11580.02,11417.04,11465.84,18415439614,2.12115E+11
8/30/2020,11465.84,11719,11458,11711.16,19909556667,2.1618E+11
8/31/2020,11711.17,11800.77,11570,11649.51,21077276618,2.15922E+11
9/1/2020,11649.51,12050.85,11515,11921.97,25232603062,2.21316E+11
9/2/2020,11921.97,11954.57,11160.1,11388.54,26038738389,2.10746E+11
9/3/2020,11388.54,11462.6,9960.8,10140.85,49411126241,1.88438E+11
9/4/2020,10138.29,10627.05,9875.5,10446.25,27623487077,1.9404E+11
9/5/2020,10446.25,10565.68,9825,10166.69,56430042199,1.88092E+11
9/6/2020,10166.69,10347.14,9994.86,10256.2,28801019507,1.89621E+11
9/7/2020,10255.89,10410.75,9875,10373.44,26560146962,1.91502E+11
9/8/2020,10373.45,10438,9850,10126.65,47780699209,1.86825E+11
9/9/2020,10126.66,10343,9981.01,10219.2,21357083446,1.88758E+11
9/10/2020,10219.29,10483.35,10070.83,10336.87,77545788531,1.91181E+11
9/11/2020,10336.86,10397.6,10200,10387.89,20796810116,1.92112E+11
9/12/2020,10387.89,10477.97,10269.25,10440.92,19955498078,1.92998E+11
9/13/2020,10440.67,10580.11,10200,10332.83,21057424433,1.90923E+11
9/14/2020,10332.84,10750,10212.34,10671.77,23526143436,1.9701E+11
9/15/2020,10671.77,10930.04,10606.48,10785.31,23802088944,1.99044E+11
9/16/2020,10785.23,11093,10661.22,10954.01,24459086809,2.02524E+11
9/17/2020,10954.01,11045.46,10745.83,10939.99,23547167125,2.02358E+11
9/18/2020,10940,11038.03,10812.84,10933.39,20681771888,2.02091E+11
9/19/2020,10933.4,11179.79,10887.37,11080.65,18334274060,2.04994E+11
9/20/2020,11080.64,11080.64,10723,10920.28,20161733907,2.02033E+11
9/21/2020,10920.28,10988.86,10296.35,10417.22,23757059692,1.93678E+11
9/22/2020,10417.22,10572.71,10353,10529.61,19866578109,1.94731E+11
9/23/2020,10529.61,10537.15,10136.82,10241.46,19981974722,1.89121E+11
9/24/2020,10241.46,10795.24,10190.93,10736.32,21348447554,1.98514E+11
9/25/2020,10736.33,10760.53,10556.24,10686.67,19119761059,1.97617E+11
9/26/2020,10686.57,10820.94,10644.68,10728.6,16886146730,1.98687E+11
9/27/2020,10728.59,10799,10594.82,10774.25,17639951628,1.99236E+11
9/28/2020,10774.26,10950,10626,10696.12,19869963340,1.9772E+11
9/29/2020,10696.11,10867.54,10635.87,10840.48,18308943801,2.00533E+11
9/30/2020,10840.58,10849.34,10665.13,10776.59,18558607663,1.9931E+11
10/1/2020,10776.59,10920,10437,10619.13,20889752500,1.96617E+11
10/2/2020,10619.13,10664.64,10374,10570.4,21258724984,1.9566E+11
10/3/2020,10570.4,10603.56,10496.46,10542.06,16039831145,1.95188E+11
10/4/2020,10542.07,10696.87,10517.87,10666.63,16029160488,1.97495E+11
10/5/2020,10666.62,10798,10615.64,10792.21,17853484006,1.9953E+11
10/6/2020,10792.2,10800,10525,10599.66,19419734685,1.96314E+11
10/7/2020,10599.65,10681.87,10546.17,10666.39,17222472600,1.97576E+11
10/8/2020,10666.4,10950,10530.41,10925.57,19767968267,2.01519E+11
10/9/2020,10925.44,11104.64,10829,11050.64,19254933802,2.04809E+11
10/10/2020,11050.64,11491,11050.51,11293.22,19496631246,2.09269E+11
10/11/2020,11293.22,11445,11221,11369.02,16270141990,2.10799E+11
10/12/2020,11369.02,11720.01,11172,11528.25,20957733314,2.13726E+11
10/13/2020,11528.24,11557,11300,11420.56,19556025069,2.11576E+11
10/14/2020,11420.57,11547.98,11280,11417.89,20441486195,2.11756E+11
10/15/2020,11417.89,11617.34,11250.83,11505.12,20511481707,2.12878E+11
10/16/2020,11505.13,11541.15,11200,11319.32,20436703034,2.09993E+11
10/17/2020,11319.24,11402.42,11255,11360.2,15650920221,2.10422E+11
10/18/2020,11360.31,11505,11346.22,11503.14,15569792414,2.12752E+11
10/19/2020,11503.14,11823.99,11407.96,11751.47,18121468516,2.17391E+11
10/20/2020,11751.46,12038.38,11677.59,11909.99,21431994056,2.20405E+11
10/21/2020,11910,13217.68,11886.95,12780.96,29314287990,2.36717E+11
10/22/2020,12780.75,13185,12678.08,12968.52,25070864647,2.40258E+11
10/23/2020,12968.84,13027.69,12720.08,12923.07,21379873278,2.39591E+11
10/24/2020,12923.06,13166.73,12870,13111.73,19302801175,2.42785E+11
10/25/2020,13111.73,13350,12888,13028.83,18998745579,2.41327E+11
10/26/2020,13029.64,13238.81,12765,13052.19,21507619986,2.42141E+11
10/27/2020,13052.15,13789.29,13019.87,13636.17,23918511528,2.53005E+11
10/28/2020,13636.16,13859.48,12888,13266.4,26825856788,2.45662E+11
10/29/2020,13266.4,13642.91,12920.77,13455.7,22860841954,2.49545E+11
10/30/2020,13455.69,13669.98,13115,13560.1,23482756915,2.50845E+11
10/31/2020,13560.1,14100,13411.5,13791,22691200479,2.55329E+11
11/1/2020,13791,13895,13603,13761.5,19771957708,2.5426E+11
11/2/2020,13761.49,13830,13195.05,13549.37,22630851230,2.51266E+11
11/3/2020,13549.63,14066.11,13284.99,14023.53,22602862338,2.59277E+11
11/4/2020,14023.53,14259,13525,14144.01,25857225138,2.61104E+11
